+,!,*,&,ASTSize,ASTDepth,SUM_LIB,SUM_NODE,AVE_LIB,lev,power,area,delay
9,536,528,13,1637,25,16674,1086,15.539608574091332,7,76.49,101.24,50.04
1,6278,7259,9,20817,41,216226,13547,15.971783128970305,10,73.45,95.88,90.39
5,3391,3392,6,10198,36,105273,6794,15.508691809074838,8,74.18,78.15,76.53
3,6015,5443,12,16932,40,173959,11473,15.178343949044587,11,137.27,124.57,151.84
3,141,116,4,388,16,3899,264,14.996153846153845,7,55.97,54.82,60.55
10,2527,2671,19,7928,35,81765,5227,15.699884792626728,9,70.87,121.31,143.72
3,287,301,7,910,19,9283,598,15.707275803722505,6,61.86,55.52,75.89
13,990,995,18,3043,30,31138,2016,15.584584584584585,8,89.16,112.44,123.38
5,985,937,18,2906,30,29609,1945,15.365334717176959,7,92.96,104.28,89.13
3,1877,1872,3,5634,28,58155,3755,15.499733475479744,12,122.38,151.4,135.17
0,937,1005,5,2958,59,30543,1947,15.727600411946447,10,427.27,252.41,151.05
5,74,91,16,299,21,2798,186,16.458823529411763,4,66.23,47.82,36.13
7,315,297,6,936,18,9551,625,15.4297253634895,8,94.57,131.1,62.87
9,1448,1554,20,4615,34,47454,3031,15.760212553968781,8,110.26,153.96,118.94
6,4760,4584,9,13959,33,143844,9359,15.384385026737968,9,58.49,116.41,113.83
8,141,120,16,430,22,4117,285,15.304832713754648,5,71.98,59.49,52.25
6,1577,1714,9,5036,25,52057,3306,15.789202305125873,6,55.33,52.95,60.5
5,2583,2828,4,8258,26,85593,5420,15.803729689807977,12,121.57,142.3,138.97
11,27,12,22,118,23,793,72,15.86,1,28.97,27.53,20.25
2,1255,1355,17,4004,31,41157,2629,15.756891271056661,9,293.85,198.52,145.57
8,90,102,14,339,18,3262,214,16.31,5,57.3,53.89,48.22
3,6513,5904,2,18332,36,188583,12422,15.183816425120773,13,91.91,143.47,127.68
1,53,55,5,176,12,1713,114,15.715596330275229,5,58.91,39.19,40.94
10,1617,1808,17,5288,31,54589,3452,15.891994177583697,10,84.99,120.61,126.85
4,73,57,8,212,15,2015,142,15.037313432835822,5,46.43,36.16,45.26
15,56,45,24,225,27,1884,140,16.24137931034483,2,59.33,45.02,19.28
1,50174,57708,14,165621,43,1721168,107897,15.954024267030023,14,149.9,157.46,164.21
2,1597,1358,1,4320,25,44301,2958,14.981738248224552,10,111.77,83.05,72.43
3,274,228,3,743,16,7560,508,14.970297029702971,7,51.27,52.49,57.79
0,43,41,1,128,14,1289,85,15.345238095238095,4,23.33,6.77,44.74
4,471,429,9,1356,22,13781,913,15.244469026548673,7,74.96,68.12,72.38
4,1289,1422,16,4174,38,42989,2731,15.833885819521178,9,178.7,139.03,110.2
2,5570,5943,8,17477,30,180928,11523,15.71237516283109,11,179.18,206.92,111.79
3,1865,1554,2,4984,25,51051,3424,14.918468731735826,10,102.15,133.44,117.02
7,4636,4757,14,14193,38,146560,9414,15.591489361702127,7,66.15,58.09,93.35
13,311,347,17,1066,22,10771,688,16.0521609538003,7,114.25,124.8,60.71
1,129,124,4,388,21,3915,258,15.413385826771654,4,30.71,35.69,32.38
6,131,129,16,434,22,4173,282,15.68796992481203,5,66.31,51.32,44.74
5,6636,5593,6,17845,28,182900,12240,14.950138957005068,6,42.36,58.79,46.36
3,3826,3984,17,11835,34,122160,7830,15.635479329322923,10,130.96,134.37,128.89
8,2877,2642,16,8210,33,84225,5543,15.238827573728967,8,76.87,119.67,98.61
0,851,958,3,2774,25,28735,1812,15.884466556108347,9,83.22,69.75,74.29
2,583,638,5,1874,22,19335,1228,15.80948487326247,7,59.76,44.32,70.04
5,2773,2904,6,8604,28,88975,5688,15.659098908834917,12,129.94,142.07,143.75
7,821,913,10,2682,23,27657,1751,15.885697874784606,8,92.36,180.09,101.83
14,110,80,24,347,26,3114,228,15.264705882352942,6,75.5,75.12,43.59
2,1703,1679,16,5098,29,52317,3400,15.460106382978724,9,206.05,198.05,132.45
4,312,354,7,1043,18,10700,677,15.970149253731343,6,40.54,52.95,55.35
3,52188,50349,19,152931,47,1577448,102559,15.383733177296664,15,195.67,272.24,191.88
9,15,6,12,70,14,501,42,16.7,2,19.98,20.06,20.25
8,57,49,11,194,16,1799,125,15.780701754385966,4,42.76,35.46,32.43
12,293,266,13,876,21,8801,584,15.413309982486865,5,47.19,53.19,49.39
7,8581,8600,7,25810,32,266611,17195,15.511461484756808,12,108.22,147.9,133.6
12,35,18,23,142,25,1023,88,15.738461538461538,3,38.12,37.32,22.91
2,322,307,9,959,21,9704,640,15.378763866877971,7,55.55,45.72,59.16
2,1511,1759,4,5042,27,52349,3276,15.999083129584353,8,58.14,76.98,66.38
2,612,516,1,1651,23,16912,1131,14.966371681415929,9,94.97,126.44,92.35
6,2333,2544,6,7446,28,77121,4889,15.793774319066149,9,95.5,125.27,112.52
11,13564,15938,22,45507,47,472998,29535,16.02676786500864,10,84.03,158.4,129.68
9,60,74,18,263,20,2402,161,16.797202797202797,6,51.61,56.69,53.44
0,679,718,5,2126,50,21907,1402,15.681460272011453,7,76.58,80.95,82.1
0,4295,4166,8,12644,38,130307,8469,15.400898238978844,12,143.41,129.7,116.44
5,931,1205,11,3374,24,35019,2152,16.356375525455395,8,82.24,69.05,90.32
0,1092,1125,0,3343,35,34578,2217,15.596752368064953,6,23.98,24.49,40.73
0,26,36,3,105,12,1026,65,16.548387096774192,4,24.75,12.13,35.97
4,386,323,11,1063,21,10684,724,14.984572230014026,8,72.23,64.15,80.01
3,1329,1398,5,4142,22,42795,2735,15.675824175824175,9,74.04,102.88,123.45
4,495,601,23,1752,31,17781,1123,16.164545454545454,7,285.1,193.16,59.85
4,892,809,7,2533,21,25930,1712,15.208211143695015,7,43.05,79.32,76.45
6,2606,3027,8,8689,33,90204,5647,15.996453271856712,10,95.75,171.46,133.74
6,164,135,9,465,15,4602,314,15.088524590163935,7,84.83,56.92,55.1
3,193,196,5,602,19,6127,397,15.630102040816327,7,75.94,76.98,47.49
6,3393,3365,6,10148,32,104723,6770,15.482406859846245,12,118.34,140.2,131.9
2,604,609,2,1831,25,18886,1217,15.5440329218107,5,10.84,9.8,20.39
5,29587,27816,17,85264,41,878365,57425,15.30039367335563,15,227.67,265.01,203.32
0,601,586,4,1782,23,18301,1191,15.417860151642797,9,64.45,59.95,76.07
0,1111,980,0,3072,35,31559,2091,15.092778574844573,11,97.29,115.94,114.47
2,676,771,9,2241,24,23098,1458,15.94064872325742,8,87.37,73.48,97.29
3,140433,143998,3,428442,48,4431931,284437,15.581579557999396,15,131.41,253.34,192.15
5,993,946,5,2906,22,29879,1949,15.36985596707819,9,81.59,95.64,91.04
16,75,67,28,298,30,2565,186,16.234177215189874,4,80.59,70.22,27.13
3,1818,1482,2,4793,30,49044,3305,14.848319709355131,11,153.57,178.69,105.48
0,11398,11903,2,35209,78,364448,23303,15.640873782241105,6,32.98,27.99,36.83
0,2360,2044,4,6457,31,66208,4408,15.033605812897367,10,136.58,139.03,125.58
0,3625,3208,7,10056,28,103201,6840,15.103322113273817,9,71.77,61.59,82.34
5,138,135,8,435,19,4342,286,15.618705035971223,7,44.97,49.22,60.56
4,18,14,3,61,10,574,39,15.944444444444445,4,23.38,20.3,20.1
4,1469,1281,5,4050,24,41507,2759,15.071532316630355,6,35.44,32.43,44.88
6,137,152,9,472,17,4733,304,16.044067796610168,5,66.81,60.65,53.01
8,2473,2543,8,7592,28,78411,5032,15.607285031847134,10,115.34,132.04,111.82
3,254,223,12,731,20,7270,492,15.145833333333334,6,78.67,57.62,45.33
9,25,20,13,110,16,899,67,16.64814814814815,2,32.86,26.59,12.49
5,767,713,13,2230,24,22719,1498,15.298989898989898,8,131.03,113.61,87.83
8,231,248,10,764,20,7743,497,15.899383983572895,4,42.33,46.66,40.04
8,2213,2319,11,6890,28,71143,4551,15.670264317180617,12,103.16,132.97,127.07
7,1334,1147,24,3691,33,37422,2512,15.040996784565916,8,252.75,160.5,109.05
8,7492,7557,8,22639,32,233890,15065,15.53363883907817,12,161.28,209.72,149.88
3,311174,304630,2,920445,58,9502504,615809,15.43097756277535,18,158.0,222.78,247.77
8,681,768,16,2266,25,23233,1473,15.945778997940975,7,90.17,99.38,76.23
5,1104,1295,15,3735,25,38556,2419,16.03826955074875,9,46.07,61.35,84.52
4,69,64,6,218,12,2133,143,15.569343065693431,4,39.43,37.32,37.72
1,415,451,5,1330,29,13683,872,15.782006920415226,4,20.61,12.6,26.67
2,2152,2513,2,7187,25,74706,4669,16.007285193914722,9,48.33,69.05,66.06
9,22,10,16,93,18,652,57,15.902439024390244,2,25.19,24.49,12.48
3,16275,16023,22,48372,42,499059,32323,15.450264697687379,15,401.31,325.19,192.66
2,2405,2201,10,6832,36,70119,4618,15.216796875,10,144.85,125.74,125.5
1,3730,3430,0,10593,33,109056,7161,15.229157938835359,11,109.4,156.3,143.59
5,74,64,9,231,14,2204,152,15.412587412587413,4,32.12,30.56,32.02
1,40,35,1,115,11,1156,77,15.210526315789474,5,40.73,30.56,49.62
7,182,138,8,489,17,4856,335,14.850152905198776,5,31.42,41.29,28.69
4,199,198,13,630,20,6251,414,15.58852867830424,6,73.21,71.38,52.67
11,396,418,14,1283,23,13046,839,15.813333333333333,5,63.88,64.39,47.12
8,2202,2459,18,7173,32,74124,4687,15.875776397515528,9,74.78,67.42,131.82
4,1739,1727,13,5228,23,53749,3483,15.489625360230548,9,101.79,105.44,82.65
6,321,303,13,966,22,9711,643,15.414285714285715,5,72.71,77.22,63.53
6,1099,1390,6,3904,39,40627,2501,16.283366733466934,6,48.85,50.16,54.1
0,66912,72201,13,211341,42,2190630,139126,15.74712643678161,15,223.82,323.09,256.67
2,2398,2764,4,7939,29,82442,5168,15.964756003098373,9,64.12,62.75,94.32
1,45307,39868,5,125056,63,1284885,85181,15.085059171597633,13,125.41,170.53,165.46
12,1583,1490,19,4626,32,47339,3104,15.344894651539708,7,87.22,131.57,131.26
3,124,95,3,327,19,3284,225,14.792792792792794,7,44.8,45.96,58.9
6,45,40,14,166,17,1441,105,15.835164835164836,3,43.84,35.69,31.37
6,1411,1376,5,4186,28,43127,2798,15.441102756892231,11,94.25,134.6,107.92
1,2923,2902,14,8758,32,90177,5840,15.4783728115345,10,183.24,178.69,130.02
1,1203,1191,13,3614,34,37055,2408,15.471816283924843,9,273.94,178.23,140.37
2,1002,977,4,2969,23,30564,1985,15.428571428571429,6,36.98,28.23,55.09
7,407,319,7,1074,23,10863,740,14.819918144611187,7,83.56,86.78,71.77
2,543,703,7,1968,25,20405,1255,16.350160256410255,5,56.19,26.83,63.66
8,920,850,11,2659,24,27188,1789,15.291338582677165,8,77.63,102.88,151.98
10,21409,23686,10,68822,41,714033,45115,15.830462254738942,12,126.47,216.48,195.67
12,130,171,13,523,19,5244,326,16.75399361022364,5,59.11,50.62,51.34
11,399,352,14,1154,21,11621,776,15.250656167979002,8,118.91,100.31,84.75
3,1431,1303,3,4050,31,41623,2740,15.207526488856413,10,100.15,111.27,99.15
11,2617,3197,14,9062,29,94173,5839,16.167038626609443,12,118.48,128.3,166.24
2,194,214,6,639,18,6506,416,15.86829268292683,7,93.76,67.65,60.16
2,19,20,5,74,9,663,46,16.170731707317074,4,31.81,16.33,21.25
3,71253,68897,15,209084,43,2157089,140168,15.390958452548286,14,149.25,207.15,215.7
3,383,447,4,1292,20,13359,837,16.03721488595438,9,92.43,65.32,93.6
7,41,29,18,150,20,1189,95,15.441558441558442,3,51.01,29.86,24.09
8,47,34,17,166,20,1379,106,15.49438202247191,2,40.79,32.43,21.55
2,32408,32248,19,96947,43,1001180,64677,15.484240155897183,14,248.0,297.67,203.09
1,18819,16371,14,51592,41,529559,35205,15.04813730783439,12,168.88,192.22,159.71
0,18360,19917,8,58211,37,603414,38285,15.764401598871386,12,91.57,130.64,144.73
10,512,463,12,1483,20,15054,997,15.283248730964466,7,80.45,98.68,87.68
4,74,94,8,287,15,2838,180,16.5,7,43.72,42.69,66.12
17,173,147,23,548,27,5233,360,15.52818991097923,5,80.62,77.22,60.54
0,1724,1620,1,4967,27,51156,3345,15.297846889952153,11,92.16,100.78,89.91
8,7161,6303,8,19800,31,203323,13480,15.092265439429928,14,165.08,205.29,189.12
6,1827,1981,8,5818,27,60181,3822,15.778972207656004,11,97.08,97.28,114.19
10,641,546,20,1794,27,18041,1217,15.071846282372599,9,114.59,136.94,100.84
12,2944,2957,24,8931,43,91862,5937,15.535599526467106,7,61.86,79.32,82.9
4,15253,15489,3,46246,36,478139,30749,15.55125870031874,13,87.04,126.67,158.66
0,215,230,7,690,22,6995,452,15.719101123595506,6,61.29,49.92,46.08
2,157,147,3,462,18,4699,309,15.356209150326798,6,50.37,42.46,51.89
2,14696,15362,1,45427,38,470280,30061,15.644710578842316,14,102.1,133.44,177.94
5,266,257,10,811,19,8178,538,15.488636363636363,5,56.88,54.82,73.74
7,2717,2434,15,7630,31,78183,5173,15.157619232260567,10,93.51,139.27,134.75
4,688,720,13,2163,26,22136,1425,15.677053824362606,8,191.15,124.8,92.59
1,944,882,2,2715,29,27926,1829,15.285166940339353,4,9.88,7.93,23.14
4,234,225,8,709,22,7160,471,15.464362850971922,5,50.91,36.39,58.68
6,76,76,11,263,16,2512,169,15.89873417721519,4,47.17,41.29,32.94
8,143,113,13,412,20,3981,277,15.079545454545455,4,53.53,48.52,45.14
6,103,93,7,316,13,3129,209,15.490099009900991,5,48.3,33.36,34.92
8,7304,7047,10,21435,32,220978,14369,15.389511804443206,12,131.91,187.79,160.78
8,509,367,14,1288,25,12863,898,14.550904977375566,5,61.39,73.48,79.36
9,80,80,17,293,22,2714,186,16.059171597633135,4,80.0,71.38,43.74
4,32,30,4,109,11,1052,70,15.93939393939394,4,40.24,20.76,35.97
7,130,104,17,387,24,3640,258,15.103734439834025,3,48.21,64.39,26.77
5,472,512,10,1527,27,15642,999,15.8159757330637,6,38.73,35.23,61.81
8,4809,5179,9,15202,32,157427,10005,15.748999599839935,8,83.66,67.88,75.54
2,1095,1147,7,3408,23,35141,2251,15.659982174688057,8,39.21,79.32,80.58
9,9322,9270,15,27911,36,288072,18616,15.486909305951293,10,83.97,70.68,113.25
8,77,82,15,288,19,2705,182,16.197604790419163,4,49.39,44.79,35.99
1,22674,22414,0,67505,39,697200,45089,15.462751447137883,15,79.52,200.39,182.28
11,1457,1483,19,4484,33,46025,2970,15.596407997289054,9,164.31,202.02,139.24
0,9317,8232,1,25784,62,264957,17550,15.098125249301955,6,38.17,25.89,40.9
6,941,1040,14,3062,27,31505,2001,15.85556114745848,10,107.66,141.13,102.74
0,433,458,3,1356,20,13973,894,15.682379349046016,9,65.55,40.59,67.82
1,4218,3614,0,11449,34,117496,7833,15.000127665007021,14,106.99,133.9,169.98
4,6258,5602,8,17487,31,179670,11872,15.144133513149022,8,42.99,54.59,91.12
4,51594,52967,3,157543,39,1629724,104568,15.58575049012576,15,111.48,189.19,217.61
6,43,33,16,154,18,1269,98,15.475609756097562,4,37.47,30.33,26.45
0,4735,4463,8,13678,43,140801,9206,15.307784300934985,11,146.7,176.36,135.77
3,785,677,8,2162,22,22037,1473,15.042320819112629,8,69.1,66.02,79.96
0,276,287,2,855,45,8798,565,15.626998223801065,6,48.18,30.79,53.55
0,3354,3281,11,9939,43,102368,6646,15.428485305199699,11,240.16,215.32,125.1
7,112,96,8,335,14,3302,223,15.35813953488372,5,64.45,53.42,43.18
1,4119,4675,0,13472,31,139947,8795,15.9121091529278,7,44.22,43.16,51.32
6,78,73,6,249,15,2464,163,15.694267515923567,7,33.14,46.89,63.8
13,39,27,37,194,38,1283,116,16.240506329113924,2,57.19,51.79,17.77
5,512,418,4,1367,27,13934,939,14.902673796791444,7,79.08,84.45,69.11
0,90,81,7,267,14,2592,178,15.157894736842104,4,49.94,32.19,49.22
1,72,59,3,199,12,1972,135,14.93939393939394,5,58.31,41.52,32.32
8,2269,2359,18,7040,31,72527,4654,15.64430543572045,8,126.73,153.73,106.22
6,387,406,12,1236,25,12571,811,15.733416770963705,6,112.79,111.04,78.09
7,35229,32611,10,100486,43,1034685,67857,15.250268987574986,13,131.19,216.72,190.64
6,2901,2921,5,8766,31,90527,5833,15.533115991763898,8,63.4,87.71,73.79
6,12496,13105,18,38755,42,400930,25625,15.657046901237942,13,163.09,224.88,203.38
4,1637,1745,14,5164,25,53227,3400,15.719728292971057,8,141.57,148.13,129.56
6,1094,1001,15,3139,29,32024,2116,15.242265587815327,9,114.35,123.17,72.2
5,132,117,11,399,17,3892,265,15.32283464566929,5,55.49,47.59,53.93
11,134,122,18,437,23,4176,285,15.640449438202246,4,50.69,52.02,56.86
0,2400,2544,2,7493,37,77568,4946,15.689320388349515,12,145.42,145.1,122.35
5,785,734,5,2274,24,23343,1529,15.316929133858268,8,67.17,77.68,89.37
5,187,199,10,616,19,6191,401,15.83375959079284,6,68.51,77.92,59.78
0,637,785,2,2212,53,23003,1424,16.176511954992968,9,129.46,128.3,77.44
12,1708,1588,21,4951,36,50620,3329,15.30229746070133,8,117.91,144.4,122.89
0,24919,27866,3,80658,65,837323,52788,15.86289665624704,16,344.41,474.26,299.61
10,6886,6360,12,19651,31,202154,13268,15.25,10,92.7,112.67,134.7
3,363,344,2,1062,18,10913,712,15.370422535211267,7,61.87,48.06,54.43
1,320,308,3,945,20,9682,632,15.392686804451511,6,34.32,38.72,50.9
5,1900,1663,9,5255,25,53816,3577,15.082959641255606,7,66.68,69.75,89.42
3,318,283,13,917,21,9166,617,15.175496688741722,5,54.38,57.62,51.97
7,220,213,18,697,26,6848,458,15.563636363636364,5,55.8,62.52,61.84
0,434,378,7,1205,19,12222,819,15.051724137931034,7,87.99,81.18,64.47
4,4523,4405,25,13392,39,137721,8957,15.418831168831169,10,279.28,278.77,133.44
9,257,241,13,784,17,7849,520,15.481262327416173,8,91.38,99.61,77.26
3,376,360,10,1123,21,11382,749,15.40189445196211,7,86.57,75.12,60.94
9,863,792,8,2482,29,25425,1672,15.279447115384615,10,119.13,105.44,102.36
10,48,43,12,179,15,1638,113,16.217821782178216,4,67.17,38.72,30.8
5,1670,1597,21,4917,32,50294,3293,15.371026894865526,9,272.9,215.08,153.13
1,761,900,2,2568,26,26675,1664,16.049939831528278,7,32.76,44.32,55.83
0,13443,11966,6,37388,43,384239,25415,15.122161438860246,14,234.0,260.81,171.47
7,253,255,12,802,21,8069,527,15.667961165048544,6,67.13,70.22,82.42
9,5786,5516,9,16855,30,173660,11320,15.353196003890018,11,101.18,110.34,120.27
3,1024,974,2,2983,27,30722,2003,15.353323338330835,10,93.65,110.34,102.29
1,278,246,0,773,18,7940,525,15.123809523809523,9,49.52,94.48,77.7
8,54,40,14,179,18,1574,116,15.431372549019608,3,49.45,29.86,35.01
0,13391,12956,4,39312,36,405551,26351,15.392682278817322,12,118.17,163.3,140.09
6,13,8,11,64,13,449,38,16.62962962962963,2,20.24,19.36,15.88
3,761,817,10,2422,22,24901,1591,15.750158127767236,7,56.12,44.79,58.43
7,31,35,7,130,12,1231,80,16.863013698630137,3,36.44,26.13,30.53
6,647,680,24,2068,30,20939,1357,15.708177044261065,7,348.94,249.61,69.95
10,1658,1298,14,4303,23,43738,2980,14.74645987862441,8,95.26,144.87,97.89
3,2686,2304,2,7305,35,74940,4995,15.00901261766473,9,86.88,99.61,95.8
1,666,707,0,2083,24,21574,1374,15.701601164483261,10,73.11,87.71,94.1
8,92,74,17,291,22,2664,191,15.310344827586206,3,69.37,55.99,32.97
3,5321,5100,7,15542,31,160167,10431,15.365214888718342,12,90.54,129.7,141.68
1,3341,3486,8,10332,37,106787,6836,15.639572349150557,12,143.39,159.33,172.48
6,82,83,7,275,13,2720,178,15.90643274853801,6,51.68,56.22,39.12
1,21568,26682,7,74949,35,781142,48258,16.189135976456445,12,85.06,114.07,155.89
3,2598,2294,2,7197,33,73928,4897,15.102757916241062,12,138.37,139.03,122.65
4,1292,1143,3,3593,26,36878,2442,15.120131201312013,11,84.89,93.78,132.22
